ID,Unnamed: 1,Unnamed: 2,SITE,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,CROP AND LAND USE ,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,SOIL MANAGEMENT INFO,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,DATA,Unnamed: 35,Unnamed: 36,Unnamed: 37,CURRENT SOC AND SOIL CHARACTERISTICS,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,PREVIOUS SOC AND SOIL CHARACTERISTICS,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,SOURCE,Unnamed: 76,Unnamed: 77,Unnamed: 78
ID,IDstudy,plotID,country,region,temperature_Celsiul,precipitation_mm,climate,Latitud,Longitud,bedrock,soil_type,USDA,TYPE_CHANGE,CROP_current,cropAGE,current_land_use*,LUC_this_study,previous_land_use*,years_since_luc,TEMPORAL_only_this_study,timeTEMPORAL,CHANGE_management,year_since_MANAGEMENT_CHANGE,soil_treatments,tillageYESNO,tillage_type,fertilizerYESNO,fet_type,rate_fertilizer_kh_ha,pesticides,org_amendYESNO,org_amend_type,prev_man,SINGLE_DATA-MULTIPLE_SINGLEAMPLING,DIF_DEPTH_current_point,CONTI_DEPTH,NUM_DEPTH,year_measure,N_plots_current,N_sample_per_plot_current,N_measured_current,soil_from_cm_current,soil_to_cm_current,depth_midpoint_current,bulk_density_Mg_m3_current,%clay_current,%silt_current,%sand_current,clay_g_kg_current,silt_g_kg_current,sand_g_kg_current,ph_current,SOC_g_kg_current,sd_SOC_gkg_current,SOC_Mg_ha_current,sd_SOC_Mgha_current,N_plots_previous,N_sample_per_plot_previous,N_measured_previous,soil_from_cm_previous,soil_to_cm_previous,depth_midpoint_previous,Bulkdensity_previous,%clay_previous,%silt_previous,%sand_previous,clay_g_kg_previous,silt_g_kg_previous,sand_g_kg_previous,ph_previous,SOC_g_kg_previous,sd_SOC_gkg_previous,SOC_Mg_ha_previous,sd_SOC_Mgha_previous,yearPpub,AL_source,SOURCE,original_source
18,2,6,Canada,Meadow_Lake,1.2,344,Subpolar,54.0279,-108.75,Calcareous_glacial,OrthicGrayLuvisol,,LUC,Poplar,14,SRC,YES,annual_crop,14,NO,,NO,,,,,,,,,,,,MULTI,NO,,1,2010,1,5,5,0,10,5,,,,,,,,4.56,15,,,,1,5,5,0,10,5,,,,,,,,,16,,,,2014,ISIwebkNOwledge,Yannikos_etl(2014),"Yannikos, N., Leinweber, P., Helgason, B.L., Baum, C., Walley, F.L. and Van Rees, K.C., 2014. Impact of Populus trees on the composition of organic matter and the soil microbial community in Orthic Gray Luvisols in Saskatchewan (Canada). Soil Biology and Biochemistry, 70, pp.5-11."
20,2,6,Canada,Meadow_Lake,1.2,344,Subpolar,54.0279,-108.75,Calcareous_glacial,OrthicGrayLuvisol,,LUC,Poplar,14,SRC,YES,natural_forest,14,NO,,NO,,,,,,,,,,,,MULTI,NO,,1,2010,1,5,5,0,10,5,,,,,,,,4.56,15,,,,1,5,5,0,10,5,,,,,,,,,5.9,,,,2014,ISIwebkNOwledge,Yannikos_etl(2014),"Yannikos, N., Leinweber, P., Helgason, B.L., Baum, C., Walley, F.L. and Van Rees, K.C., 2014. Impact of Populus trees on the composition of organic matter and the soil microbial community in Orthic Gray Luvisols in Saskatchewan (Canada). Soil Biology and Biochemistry, 70, pp.5-11."
22,3,7,USA,Aksarben,,,Temperate,41.2473,-96.0071,,,,LUC,Switchgrass,15,bioenergy,YES,annual_crop,15,NO,,NO,,,,,,,,,,,,,YES,YES,4,2013,,,1,0,15,7.5,,,,,457,512,,6.6,25.5,,,,,,1,0,15,7.5,,,,,,,,,17.5,,,,2014,ISIwebkNOwledge,Blancoetal2014,"Blanco-Canqui, H., Gilley, J.E., Eisenhauer, D.E., Jasa, P.J. and Boldt, A., 2014. Soil carbon accumulation under switchgrass barriers. AgroNOmy Journal, 106(6), pp.2185-2192."
23,3,7,USA,Aksarben,,,Temperate,41.2473,-96.0071,,,,LUC,Switchgrass,15,bioenergy,YES,annual_crop,15,NO,,NO,,,,,,,,,,,,,YES,YES,4,2013,,,1,15,30,22.5,,,,,457,512,,6.6,11,,,,,,1,15,30,22.5,,,,,,,,,9,,,,2014,ISIwebkNOwledge,Blancoetal2014,"Blanco-Canqui, H., Gilley, J.E., Eisenhauer, D.E., Jasa, P.J. and Boldt, A., 2014. Soil carbon accumulation under switchgrass barriers. AgroNOmy Journal, 106(6), pp.2185-2192."
24,3,7,USA,Aksarben,,,Temperate,41.2473,-96.0071,,,,LUC,Switchgrass,15,bioenergy,YES,annual_crop,15,NO,,NO,,,,,,,,,,,,,YES,YES,4,2013,,,1,30,45,37.5,,,,,457,512,,6.6,8,,,,,,1,30,45,37.5,,,,,,,,,8,,,,2014,ISIwebkNOwledge,Blancoetal2014,"Blanco-Canqui, H., Gilley, J.E., Eisenhauer, D.E., Jasa, P.J. and Boldt, A., 2014. Soil carbon accumulation under switchgrass barriers. AgroNOmy Journal, 106(6), pp.2185-2192."
25,3,7,USA,Aksarben,,,Temperate,41.2473,-96.0071,,,,LUC,Switchgrass,15,bioenergy,YES,annual_crop,15,NO,,NO,,,,,,,,,,,,,YES,YES,4,2013,,,1,45,60,52.5,,,,,457,512,,6.6,5,,,,,,1,45,60,52.5,,,,,,,,,5,,,,2014,ISIwebkNOwledge,Blancoetal2014,"Blanco-Canqui, H., Gilley, J.E., Eisenhauer, D.E., Jasa, P.J. and Boldt, A., 2014. Soil carbon accumulation under switchgrass barriers. AgroNOmy Journal, 106(6), pp.2185-2192."
26,4,8,New_Zeland,Bay_of_Plenty,14.5,138,Temperate,-37.616,175.916,Volcanic,Mollic_Andosol,Vitrads/Vitricryands_Andisol,LUC,Kiwi,17,food,YES,pasture,17,NO,,NO,,,,,,,,,,,,MULTI,YES,YES,11,2011,,3,3,0,0.3,0.15,0.9,,,,,,,6.83,,,290,,,3,3,0,0.3,0.15,1.01,,,,,,,5.96,,,606,,2015,ISIwebkNOwledge,Holmes_etal_2015,"Holmes, A., Müller, K., Clothier, B. and Deurer, M., 2015. Carbon sequestration in kiwifruit orchard soils at depth to mitigate carbon emissions. Communications in Soil Science and Plant Analysis, 46(sup1), pp.122-136"
27,4,8,New_Zeland,Bay_of_Plenty,14.5,138,Temperate,-37.616,175.916,Volcanic,Mollic_Andosol,Vitrads/Vitricryands_Andisol,LUC,Kiwi,17,food,YES,pasture,17,NO,,NO,,,,,,,,,,,,MULTI,YES,YES,11,2011,,3,3,0.3,0.5,0.4,1.17,,,,,,,7.05,,,90.1,,,3,3,0.3,0.5,0.4,1.02,,,,,,,5.79,,,96.6,,2015,ISIwebkNOwledge,Holmes_etal_2015,"Holmes, A., Müller, K., Clothier, B. and Deurer, M., 2015. Carbon sequestration in kiwifruit orchard soils at depth to mitigate carbon emissions. Communications in Soil Science and Plant Analysis, 46(sup1), pp.122-136"
28,4,8,New_Zeland,Bay_of_Plenty,14.5,138,Temperate,-37.616,175.916,Volcanic,Mollic_Andosol,Vitrads/Vitricryands_Andisol,LUC,Kiwi,17,food,YES,pasture,17,NO,,NO,,,,,,,,,,,,MULTI,YES,YES,11,2011,,3,3,0.5,1,0.75,1.13,,,,,,,7.04,,,263,,,3,3,0.5,1,0.75,1.45,,,,,,,5.81,,,209,,2015,ISIwebkNOwledge,Holmes_etal_2015,"Holmes, A., Müller, K., Clothier, B. and Deurer, M., 2015. Carbon sequestration in kiwifruit orchard soils at depth to mitigate carbon emissions. Communications in Soil Science and Plant Analysis, 46(sup1), pp.122-136"
29,4,8,New_Zeland,Bay_of_Plenty,14.5,138,Temperate,-37.616,175.916,Volcanic,Mollic_Andosol,Vitrads/Vitricryands_Andisol,LUC,Kiwi,17,food,YES,pasture,17,NO,,NO,,,,,,,,,,,,MULTI,YES,YES,11,2011,,3,3,1,2,1.5,1.13,,,,,,,5.98,,,139,,,3,3,1,2,1.5,1.33,,,,,,,5.87,,,34.3,,2015,ISIwebkNOwledge,Holmes_etal_2015,"Holmes, A., Müller, K., Clothier, B. and Deurer, M., 2015. Carbon sequestration in kiwifruit orchard soils at depth to mitigate carbon emissions. Communications in Soil Science and Plant Analysis, 46(sup1), pp.122-136"
