Name,Citation,,Year,Country,Longitude,Latitude,Elevation (m),MAP (mm),MAT (��C),Soil type (FAO),Land-use type,,,depth,Sand,Silt,Clay,pH,soil C,soil N,soil P,SMB C,SMB N,SMB P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Harden, T., Joergensen, R.G., Meyer, B., Wolters, V., 1993, Soil microbial biomass estimated by fumigation-extraction and substrate-induced respiration in two pesticide-treated soils, Soil Biology and Biochemistry, 25(6), 679-683.",,,Germany,9.9,51.51,,,,Luvisols,Upland field,simazine,,0~10,,,,,1233.33,110.71,,20.58,3.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Harden, T., Joergensen, R.G., Meyer, B., Wolters, V., 1993, Soil microbial biomass estimated by fumigation-extraction and substrate-induced respiration in two pesticide-treated soils, Soil Biology and Biochemistry, 25(6), 679-683.",,,Germany,9.9,51.51,,,,Luvisols,Upland field,lsoproturon,,0~10,,,,,1233.33,110.71,,20.5,4.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Harden, T., Joergensen, R.G., Meyer, B., Wolters, V., 1993, Soil microbial biomass estimated by fumigation-extraction and substrate-induced respiration in two pesticide-treated soils, Soil Biology and Biochemistry, 25(6), 679-683.",,,Germany,9.9,51.51,,,,Luvisols,Upland field,dinoterb,,0~10,,,,,1233.33,110.71,,12.33,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Harden, T., Joergensen, R.G., Meyer, B., Wolters, V., 1993, Soil microbial biomass estimated by fumigation-extraction and substrate-induced respiration in two pesticide-treated soils, Soil Biology and Biochemistry, 25(6), 679-683.",,,Germany,9.9,51.51,,,,Luvisols,Upland field,chloroform,,0~10,,,,,1233.33,110.71,,4.83,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Heinze, Stefanie., Oltmanns, Meike., Joergensen, Rainer. Georg., Raupp, Joachim., 2011, Changes in microbial biomass indices after 10 years of farmyard manure and vegetal frtilizer application to a sandy soil under organic management, Plant Soil, 343, 221-234.",,,Germany,5.6,49.68,100,590,9.5,Cambisols,Upland field,,potato and winter rye,,,,,6,541.67,39.29,12.58,10.83,1.21,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Heinze, Stefanie., Oltmanns, Meike., Joergensen, Rainer. Georg., Raupp, Joachim., 2011, Changes in microbial biomass indices after 10 years of farmyard manure and vegetal frtilizer application to a sandy soil under organic management, Plant Soil, 343, 221-234.",,,Germany,5.6,49.68,100,591,9.5,Cambisols,Upland field,,potato and winter rye,,,,,6.9,633.33,45,16.13,13.33,1.64,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Heinze, Stefanie., Oltmanns, Meike., Joergensen, Rainer. Georg., Raupp, Joachim., 2011, Changes in microbial biomass indices after 10 years of farmyard manure and vegetal frtilizer application to a sandy soil under organic management, Plant Soil, 343, 221-234.",,,Germany,5.6,49.68,100,592,9.5,Cambisols,Upland field,,potato and winter rye,,,,,6.1,566.67,44.29,13.23,10.83,1.21,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Heinze, Stefanie., Oltmanns, Meike., Joergensen, Rainer. Georg., Raupp, Joachim., 2011, Changes in microbial biomass indices after 10 years of farmyard manure and vegetal frtilizer application to a sandy soil under organic management, Plant Soil, 343, 221-234.",,,Germany,5.6,49.68,100,593,9.5,Cambisols,Upland field,,potato and winter rye,,,,,6.2,600,43.57,13.55,11.67,1.36,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Heinze, Stefanie., Oltmanns, Meike., Joergensen, Rainer. Georg., Raupp, Joachim., 2011, Changes in microbial biomass indices after 10 years of farmyard manure and vegetal frtilizer application to a sandy soil under organic management, Plant Soil, 343, 221-234.",,,Germany,5.6,49.68,100,594,9.5,Cambisols,Upland field,,potato and winter rye,,,,,6.4,616.67,43.57,13.23,11.67,1.14,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Heinze, Stefanie., Oltmanns, Meike., Joergensen, Rainer. Georg., Raupp, Joachim., 2011, Changes in microbial biomass indices after 10 years of farmyard manure and vegetal frtilizer application to a sandy soil under organic management, Plant Soil, 343, 221-234.",,,Germany,5.6,49.68,100,595,9.5,Cambisols,Upland field,,potato and winter rye,,,,,6.2,600,43.57,12.58,10.83,1.29,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Heinze, Stefanie., Oltmanns, Meike., Joergensen, Rainer. Georg., Raupp, Joachim., 2011, Changes in microbial biomass indices after 10 years of farmyard manure and vegetal frtilizer application to a sandy soil under organic management, Plant Soil, 343, 221-234.",,,Germany,5.6,49.68,100,596,9.5,Cambisols,Upland field,,potato and winter rye,,,,,6.5,683.33,49.29,13.87,12.5,1.43,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Heinze, Stefanie., Oltmanns, Meike., Joergensen, Rainer. Georg., Raupp, Joachim., 2011, Changes in microbial biomass indices after 10 years of farmyard manure and vegetal frtilizer application to a sandy soil under organic management, Plant Soil, 343, 221-234.",,,Germany,5.6,49.68,100,597,9.5,Cambisols,Upland field,,potato and winter rye,,,,,6.3,666.67,50,13.23,12.5,1.36,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Kaiser, E.A., Mueller, T., Joergensen, R.G., Insam, H., Heinemeyer, O., 1992, Evaluation of methods to estimate the soil microbial biomass and the relationship with soil texture and organic matter, Soil Biology and Biochemistry, 24(7), 675-683.",,,Germany,8.45,49.31,,,,,Upland field,,,0~20,,,,,575,40.71,,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Kaiser, E.A., Mueller, T., Joergensen, R.G., Insam, H., Heinemeyer, O., 1992, Evaluation of methods to estimate the soil microbial biomass and the relationship with soil texture and organic matter, Soil Biology and Biochemistry, 24(7), 675-683.",,,Germany,11.05,47.82,,,,,Upland field,,,0~20,,,,,708.33,54.29,,7.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Kaiser, E.A., Mueller, T., Joergensen, R.G., Insam, H., Heinemeyer, O., 1992, Evaluation of methods to estimate the soil microbial biomass and the relationship with soil texture and organic matter, Soil Biology and Biochemistry, 24(7), 675-683.",,,Germany,10.45,52.23,,,,,Upland field,,,0~20,,,,,783.33,75,,16.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Kaiser, E.A., Mueller, T., Joergensen, R.G., Insam, H., Heinemeyer, O., 1992, Evaluation of methods to estimate the soil microbial biomass and the relationship with soil texture and organic matter, Soil Biology and Biochemistry, 24(7), 675-683.",,,Germany,10.18,51.06,,,,,Upland field,,,0~20,,,,,833.33,71.43,,20.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Kaiser, E.A., Mueller, T., Joergensen, R.G., Insam, H., Heinemeyer, O., 1992, Evaluation of methods to estimate the soil microbial biomass and the relationship with soil texture and organic matter, Soil Biology and Biochemistry, 24(7), 675-683.",,,Germany,10.72,52.25,,,,,Upland field,,,0~20,,,,,833.33,72.14,,22.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Kaiser, E.A., Mueller, T., Joergensen, R.G., Insam, H., Heinemeyer, O., 1992, Evaluation of methods to estimate the soil microbial biomass and the relationship with soil texture and organic matter, Soil Biology and Biochemistry, 24(7), 675-683.",,,Germany,10.52,52.25,,,,,Upland field,,,0~20,,,,,900,88.57,,18.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Kaiser, E.A., Mueller, T., Joergensen, R.G., Insam, H., Heinemeyer, O., 1992, Evaluation of methods to estimate the soil microbial biomass and the relationship with soil texture and organic matter, Soil Biology and Biochemistry, 24(7), 675-683.",,,Germany,10.18,51.06,,,,,Upland field,,,0~20,,,,,908.33,88.57,,20.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Kaiser, E.A., Mueller, T., Joergensen, R.G., Insam, H., Heinemeyer, O., 1992, Evaluation of methods to estimate the soil microbial biomass and the relationship with soil texture and organic matter, Soil Biology and Biochemistry, 24(7), 675-683.",,,Germany,10.54,52.16,,,,,Upland field,,,0~20,,,,,916.67,86.43,,20.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Kaiser, E.A., Mueller, T., Joergensen, R.G., Insam, H., Heinemeyer, O., 1992, Evaluation of methods to estimate the soil microbial biomass and the relationship with soil texture and organic matter, Soil Biology and Biochemistry, 24(7), 675-683.",,,Germany,10.4,52.38,,,,,Upland field,,,0~20,,,,,958.33,47.86,,12.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Kaiser, E.A., Mueller, T., Joergensen, R.G., Insam, H., Heinemeyer, O., 1992, Evaluation of methods to estimate the soil microbial biomass and the relationship with soil texture and organic matter, Soil Biology and Biochemistry, 24(7), 675-683.",,,Germany,10.31,52.2,,,,,Upland field,,,0~20,,,,,975,87.86,,25.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Kaiser, E.A., Mueller, T., Joergensen, R.G., Insam, H., Heinemeyer, O., 1992, Evaluation of methods to estimate the soil microbial biomass and the relationship with soil texture and organic matter, Soil Biology and Biochemistry, 24(7), 675-683.",,,Germany,10.38,52.33,,,,,Upland field,,,0~20,,,,,983.33,72.86,,20.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Kaiser, E.A., Mueller, T., Joergensen, R.G., Insam, H., Heinemeyer, O., 1992, Evaluation of methods to estimate the soil microbial biomass and the relationship with soil texture and organic matter, Soil Biology and Biochemistry, 24(7), 675-683.",,,Germany,10.54,52.16,,,,,Upland field,,,0~20,,,,,1166.67,107.14,,34.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Kaiser, E.A., Mueller, T., Joergensen, R.G., Insam, H., Heinemeyer, O., 1992, Evaluation of methods to estimate the soil microbial biomass and the relationship with soil texture and organic matter, Soil Biology and Biochemistry, 24(7), 675-683.",,,Germany,10.71,52.24,,,,,Upland field,,,0~20,,,,,1266.67,117.14,,23.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Kaiser, E.A., Mueller, T., Joergensen, R.G., Insam, H., Heinemeyer, O., 1992, Evaluation of methods to estimate the soil microbial biomass and the relationship with soil texture and organic matter, Soil Biology and Biochemistry, 24(7), 675-683.",,,Germany,9.9,51.5,,,,,Upland field,,,0~20,,,,,1275,114.29,,24.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Kaiser, E.A., Mueller, T., Joergensen, R.G., Insam, H., Heinemeyer, O., 1992, Evaluation of methods to estimate the soil microbial biomass and the relationship with soil texture and organic matter, Soil Biology and Biochemistry, 24(7), 675-683.",,,Germany,8.08,48.78,,,,,Upland field,,,0~20,,,,,1441.67,117.86,,27.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Kaiser, E.A., Mueller, T., Joergensen, R.G., Insam, H., Heinemeyer, O., 1992, Evaluation of methods to estimate the soil microbial biomass and the relationship with soil texture and organic matter, Soil Biology and Biochemistry, 24(7), 675-683.",,,Germany,10.03,51.47,,,,,Upland field,,,0~20,,,,,1466.67,126.43,,47.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Kaiser, E.A., Mueller, T., Joergensen, R.G., Insam, H., Heinemeyer, O., 1992, Evaluation of methods to estimate the soil microbial biomass and the relationship with soil texture and organic matter, Soil Biology and Biochemistry, 24(7), 675-683.",,,Germany,10.9,52.08,,,,,Upland field,,,0~20,,,,,1641.67,139.29,,28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Kaiser, E.A., Mueller, T., Joergensen, R.G., Insam, H., Heinemeyer, O., 1992, Evaluation of methods to estimate the soil microbial biomass and the relationship with soil texture and organic matter, Soil Biology and Biochemistry, 24(7), 675-683.",,,Germany,10.76,52.07,,,,,Upland field,,,0~20,,,,,1650,131.43,,31.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Kaiser, E.A., Mueller, T., Joergensen, R.G., Insam, H., Heinemeyer, O., 1992, Evaluation of methods to estimate the soil microbial biomass and the relationship with soil texture and organic matter, Soil Biology and Biochemistry, 24(7), 675-683.",,,Germany,10.33,52.23,,,,,Upland field,,,0~20,,,,,1650,162.14,,28.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Kaiser, E.A., Mueller, T., Joergensen, R.G., Insam, H., Heinemeyer, O., 1992, Evaluation of methods to estimate the soil microbial biomass and the relationship with soil texture and organic matter, Soil Biology and Biochemistry, 24(7), 675-683.",,,Germany,13.4,52.52,,,,,Upland field,,,0~20,,,,,1866.67,202.14,,55.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Kaiser, E.A., Mueller, T., Joergensen, R.G., Insam, H., Heinemeyer, O., 1992, Evaluation of methods to estimate the soil microbial biomass and the relationship with soil texture and organic matter, Soil Biology and Biochemistry, 24(7), 675-683.",,,Germany,9.9,51.5,,,,,Upland field,,,0~20,,,,,1958.33,153.57,,32.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Kaiser, E.A., Mueller, T., Joergensen, R.G., Insam, H., Heinemeyer, O., 1992, Evaluation of methods to estimate the soil microbial biomass and the relationship with soil texture and organic matter, Soil Biology and Biochemistry, 24(7), 675-683.",,,Germany,,,,,,,Upland field,,,0~20,,,,,2033.33,202.14,,35.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Kaiser, E.A., Mueller, T., Joergensen, R.G., Insam, H., Heinemeyer, O., 1992, Evaluation of methods to estimate the soil microbial biomass and the relationship with soil texture and organic matter, Soil Biology and Biochemistry, 24(7), 675-683.",,,Germany,,,,,,,Upland field,,,0~20,,,,,2175,225,,55.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Kaiser, E.A., Mueller, T., Joergensen, R.G., Insam, H., Heinemeyer, O., 1992, Evaluation of methods to estimate the soil microbial biomass and the relationship with soil texture and organic matter, Soil Biology and Biochemistry, 24(7), 675-683.",,,Germany,8.08,48.78,,,,,Upland field,,,0~20,,,,,14158.33,1036.43,,77.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Kaiser, Ernst-August., Heinemeyer, Otto., 1993, Seasonal variations of soil microbial biomass carbon within the plough layer, Soil Biology and Biochemistry, 25(12), 1649-1655.",,,Germany,10.5,52.25,,,,,Upland field,,sugar beet-winter wheat-winter barley,0~10,,,,,850,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Kaiser, Ernst-August., Heinemeyer, Otto., 1993, Seasonal variations of soil microbial biomass carbon within the plough layer, Soil Biology and Biochemistry, 25(12), 1649-1655.",,,Germany,10.5,52.25,,,,,Upland field,,sugar beet-winter wheat-winter barley,10~20,,,,,858.33,,,22.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Kaiser, Ernst-August., Heinemeyer, Otto., 1993, Seasonal variations of soil microbial biomass carbon within the plough layer, Soil Biology and Biochemistry, 25(12), 1649-1655.",,,Germany,10.5,52.25,,,,,Upland field,,sugar beet-winter wheat-winter barley,20~30,,,,,850,,,17.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Khan, K.S., Chander, K., Hartmann, G., Lamersdorf, N., Joergensen, R.G., 2007, Sources of heavy metals and their long-term effects on microbial C, N and P relationships in soil., Water, Air, and Soil Pollution, 181, 225-234. Hartman, W.H., 2011. Microbial phosphorus cycling and community assembly in wetland soils and beyond. Department of Environment. Duke University, Norman, North Carolina, p. 157.",,,Germany,10.5,52.25,,,,,Upland field,,,0~10,,,,,841.6666667,66.42857143,21.93548387,12.41666667,1.857142857,0.229032258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Khan, K.S., Chander, K., Hartmann, G., Lamersdorf, N., Joergensen, R.G., 2007, Sources of heavy metals and their long-term effects on microbial C, N and P relationships in soil., Water, Air, and Soil Pollution, 181, 225-234. Hartman, W.H., 2011. Microbial phosphorus cycling and community assembly in wetland soils and beyond. Department of Environment. Duke University, Norman, North Carolina, p. 157.",,,Germany,10.5,52.25,,,,,Upland field,,,0~10,,,,,891.6666667,71.42857143,31.93548387,15.08333333,2.5,0.216129032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Khan, K.S., Chander, K., Hartmann, G., Lamersdorf, N., Joergensen, R.G., 2007, Sources of heavy metals and their long-term effects on microbial C, N and P relationships in soil., Water, Air, and Soil Pollution, 181, 225-234. Hartman, W.H., 2011. Microbial phosphorus cycling and community assembly in wetland soils and beyond. Department of Environment. Duke University, Norman, North Carolina, p. 157.",,,Germany,10.5,52.25,,,,,Upland field,,,0~10,,,,,1291.666667,104.2857143,60.96774194,9.333333333,1.428571429,0.158064516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Khan, K.S., Chander, K., Hartmann, G., Lamersdorf, N., Joergensen, R.G., 2007, Sources of heavy metals and their long-term effects on microbial C, N and P relationships in soil., Water, Air, and Soil Pollution, 181, 225-234. Hartman, W.H., 2011. Microbial phosphorus cycling and community assembly in wetland soils and beyond. Department of Environment. Duke University, Norman, North Carolina, p. 157.",,,Germany,9.92,51.52,,,,,Upland field,,,0~20,,,,,1091.666667,103.5714286,37.09677419,12.33333333,1.857142857,0.258064516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Khan, K.S., Chander, K., Hartmann, G., Lamersdorf, N., Joergensen, R.G., 2007, Sources of heavy metals and their long-term effects on microbial C, N and P relationships in soil., Water, Air, and Soil Pollution, 181, 225-234. Hartman, W.H., 2011. Microbial phosphorus cycling and community assembly in wetland soils and beyond. Department of Environment. Duke University, Norman, North Carolina, p. 157.",,,Germany,9.92,51.52,,,,,Upland field,,,0~20,,,,,4650,355,161.2903226,53.66666667,6.857142857,0.996774194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Khan, K.S., Chander, K., Hartmann, G., Lamersdorf, N., Joergensen, R.G., 2007, Sources of heavy metals and their long-term effects on microbial C, N and P relationships in soil., Water, Air, and Soil Pollution, 181, 225-234. Hartman, W.H., 2011. Microbial phosphorus cycling and community assembly in wetland soils and beyond. Department of Environment. Duke University, Norman, North Carolina, p. 157.",,,Germany,9.92,51.52,,,,,Upland field,,,0~20,,,,,2566.666667,209.2857143,229.3548387,35.08333333,4.785714286,0.548387097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Khan, K.S., Chander, K., Hartmann, G., Lamersdorf, N., Joergensen, R.G., 2007, Sources of heavy metals and their long-term effects on microbial C, N and P relationships in soil., Water, Air, and Soil Pollution, 181, 225-234. Hartman, W.H., 2011. Microbial phosphorus cycling and community assembly in wetland soils and beyond. Department of Environment. Duke University, Norman, North Carolina, p. 157.",,,Germany,8.49,53.5,,,,,Grassland,,,0~10,,,,,3741.666667,327.8571429,40.64516129,82.08333333,8.5,1.261290323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Khan, K.S., Chander, K., Hartmann, G., Lamersdorf, N., Joergensen, R.G., 2007, Sources of heavy metals and their long-term effects on microbial C, N and P relationships in soil., Water, Air, and Soil Pollution, 181, 225-234. Hartman, W.H., 2011. Microbial phosphorus cycling and community assembly in wetland soils and beyond. Department of Environment. Duke University, Norman, North Carolina, p. 157.",,,Germany,8.49,53.5,,,,,Grassland,,,0~10,,,,,3408.333333,282.8571429,40.32258065,59.5,7.214285714,0.967741935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Khan, K.S., Chander, K., Hartmann, G., Lamersdorf, N., Joergensen, R.G., 2007, Sources of heavy metals and their long-term effects on microbial C, N and P relationships in soil., Water, Air, and Soil Pollution, 181, 225-234. Hartman, W.H., 2011. Microbial phosphorus cycling and community assembly in wetland soils and beyond. Department of Environment. Duke University, Norman, North Carolina, p. 157.",,,Germany,8.49,53.5,,,,,Grassland,,,0~10,,,,,4658.333333,365,50.32258065,136.1666667,14.42857143,1.693548387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Khan, K.S., Chander, K., Hartmann, G., Lamersdorf, N., Joergensen, R.G., 2007, Sources of heavy metals and their long-term effects on microbial C, N and P relationships in soil., Water, Air, and Soil Pollution, 181, 225-234. Hartman, W.H., 2011. Microbial phosphorus cycling and community assembly in wetland soils and beyond. Department of Environment. Duke University, Norman, North Carolina, p. 157.",,,Germany,8.49,53.5,,,,,Grassland,,,0~10,,,,,10141.66667,789.2857143,120.3225806,306.6666667,32.78571429,3.864516129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Khan, K.S., Chander, K., Hartmann, G., Lamersdorf, N., Joergensen, R.G., 2007, Sources of heavy metals and their long-term effects on microbial C, N and P relationships in soil., Water, Air, and Soil Pollution, 181, 225-234. Hartman, W.H., 2011. Microbial phosphorus cycling and community assembly in wetland soils and beyond. Department of Environment. Duke University, Norman, North Carolina, p. 157.",,,Germany,8.49,53.5,,,,,Grassland,,,0~10,,,,,8900,693.5714286,88.38709677,69.16666667,9.714285714,0.980645161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Khan, K.S., Chander, K., Hartmann, G., Lamersdorf, N., Joergensen, R.G., 2007, Sources of heavy metals and their long-term effects on microbial C, N and P relationships in soil., Water, Air, and Soil Pollution, 181, 225-234. Hartman, W.H., 2011. Microbial phosphorus cycling and community assembly in wetland soils and beyond. Department of Environment. Duke University, Norman, North Carolina, p. 157.",,,Germany,8.49,53.5,,,,,Grassland,,,0~10,,,,,7541.666667,620.7142857,127.4193548,47.25,5.785714286,0.680645161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Khan, K.S., Chander, K., Hartmann, G., Lamersdorf, N., Joergensen, R.G., 2007, Sources of heavy metals and their long-term effects on microbial C, N and P relationships in soil., Water, Air, and Soil Pollution, 181, 225-234. Hartman, W.H., 2011. Microbial phosphorus cycling and community assembly in wetland soils and beyond. Department of Environment. Duke University, Norman, North Carolina, p. 157.",,,Germany,8.49,53.5,,,,,Grassland,,,0~10,,,,,7716.666667,619.2857143,143.8709677,52.58333333,8.5,1.058064516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Khan, K.S., Chander, K., Hartmann, G., Lamersdorf, N., Joergensen, R.G., 2007, Sources of heavy metals and their long-term effects on microbial C, N and P relationships in soil., Water, Air, and Soil Pollution, 181, 225-234. Hartman, W.H., 2011. Microbial phosphorus cycling and community assembly in wetland soils and beyond. Department of Environment. Duke University, Norman, North Carolina, p. 157.",,,Germany,10.45,41.91,,,,,Upland field,,,0~10,,,,,1408.333333,118.5714286,28.38709677,22.58333333,2.928571429,0.274193548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Khan, K.S., Chander, K., Hartmann, G., Lamersdorf, N., Joergensen, R.G., 2007, Sources of heavy metals and their long-term effects on microbial C, N and P relationships in soil., Water, Air, and Soil Pollution, 181, 225-234. Hartman, W.H., 2011. Microbial phosphorus cycling and community assembly in wetland soils and beyond. Department of Environment. Duke University, Norman, North Carolina, p. 157.",,,Germany,10.45,41.91,,,,,Upland field,,,0~10,,,,,1875,126.4285714,47.41935484,16.25,1.714285714,0.235483871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Khan, K.S., Chander, K., Hartmann, G., Lamersdorf, N., Joergensen, R.G., 2007, Sources of heavy metals and their long-term effects on microbial C, N and P relationships in soil., Water, Air, and Soil Pollution, 181, 225-234. Hartman, W.H., 2011. Microbial phosphorus cycling and community assembly in wetland soils and beyond. Department of Environment. Duke University, Norman, North Carolina, p. 157.",,,Germany,10.45,41.91,,,,,Upland field,,,0~10,,,,,3508.333333,262.1428571,71.61290323,43.91666667,5.5,0.75483871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Khan, K.S., Chander, K., Hartmann, G., Lamersdorf, N., Joergensen, R.G., 2007, Sources of heavy metals and their long-term effects on microbial C, N and P relationships in soil., Water, Air, and Soil Pollution, 181, 225-234. Hartman, W.H., 2011. Microbial phosphorus cycling and community assembly in wetland soils and beyond. Department of Environment. Duke University, Norman, North Carolina, p. 157.",,,Germany,10.45,41.91,,,,,Upland field,,,0~10,,,,,2908.333333,190.7142857,59.67741935,26.25,3.357142857,0.451612903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Khan, K.S., Chander, K., Hartmann, G., Lamersdorf, N., Joergensen, R.G., 2007, Sources of heavy metals and their long-term effects on microbial C, N and P relationships in soil., Water, Air, and Soil Pollution, 181, 225-234. Hartman, W.H., 2011. Microbial phosphorus cycling and community assembly in wetland soils and beyond. Department of Environment. Duke University, Norman, North Carolina, p. 157.",,,Germany,10.45,41.91,,,,,Upland field,,,0~10,,,,,2958.333333,225.7142857,61.61290323,38.75,4.928571429,0.564516129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Khan, K.S., Chander, K., Hartmann, G., Lamersdorf, N., Joergensen, R.G., 2007, Sources of heavy metals and their long-term effects on microbial C, N and P relationships in soil., Water, Air, and Soil Pollution, 181, 225-234. Hartman, W.H., 2011. Microbial phosphorus cycling and community assembly in wetland soils and beyond. Department of Environment. Duke University, Norman, North Carolina, p. 157.",,,Germany,10.45,41.91,,,,,Upland field,,,0~10,,,,,2800,213.5714286,66.77419355,23.66666667,2.857142857,0.329032258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Khan, K.S., Chander, K., Hartmann, G., Lamersdorf, N., Joergensen, R.G., 2007, Sources of heavy metals and their long-term effects on microbial C, N and P relationships in soil., Water, Air, and Soil Pollution, 181, 225-234. Hartman, W.H., 2011. Microbial phosphorus cycling and community assembly in wetland soils and beyond. Department of Environment. Duke University, Norman, North Carolina, p. 157.",,,Germany,10.45,41.91,,,,,Upland field,,,0~10,,,,,3783.333333,260,71.93548387,29.08333333,3.571428571,0.380645161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Khan, K.S., Chander, K., Hartmann, G., Lamersdorf, N., Joergensen, R.G., 2007, Sources of heavy metals and their long-term effects on microbial C, N and P relationships in soil., Water, Air, and Soil Pollution, 181, 225-234. Hartman, W.H., 2011. Microbial phosphorus cycling and community assembly in wetland soils and beyond. Department of Environment. Duke University, Norman, North Carolina, p. 157.",,,Germany,10.45,41.91,,,,,Upland field,,,0~10,,,,,3200,242.1428571,68.38709677,35.41666667,4.642857143,0.509677419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al.,"Lavahun, M.F.E., Joergensen, R.G., Meyer, B., 1993, Activity and biomass of soil microorganisms at different depths. Biology and Fertility of Soils, 23, 1, 38-42. Doi: 10.1007/BF00335816.",,,Germany,9,51,,,,Luvisols,Upland field,,Oil-seed rape,0~10,,,,,1008.33,88.19,,13.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
