Name,Citation,,Year,Country,Longitude,Latitude,Elevation (m),MAP (mm),MAT (��C),Soil type (FAO),Land-use type,,,depth,Sand,Silt,Clay,pH,soil C,soil N,soil P,SMB C,SMB N,SMB P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Li, Q., H. L. Allen, and A. G. Wollum II (2004), Microbial biomass and bacterial functional diversity in forest soils: effects of organic matter removal, compaction, and vegetation control, Soil Biol. Biochem., 36(4), 571-579.",,2004,USA,,,,1440,17,,Temperate Coniferous Forest,,,0~10,,,,,,,,43.9,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Li, Q., H. L. Allen, and A. G. Wollum II (2004), Microbial biomass and bacterial functional diversity in forest soils: effects of organic matter removal, compaction, and vegetation control, Soil Biol. Biochem., 36(4), 571-579.",,2004,USA,,,,1440,17,,Temperate Coniferous Forest,,,0~10,,,,,,,,37.8,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Li, Q., H. L. Allen, and A. G. Wollum II (2004), Microbial biomass and bacterial functional diversity in forest soils: effects of organic matter removal, compaction, and vegetation control, Soil Biol. Biochem., 36(4), 571-579.",,2004,USA,,,,1440,17,,Temperate Coniferous Forest,,,0~10,,,,,,,,43,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Li, Q., H. L. Allen, and A. G. Wollum II (2004), Microbial biomass and bacterial functional diversity in forest soils: effects of organic matter removal, compaction, and vegetation control, Soil Biol. Biochem., 36(4), 571-579.",,2004,USA,,,,1440,17,,Temperate Coniferous Forest,,,0~10,,,,,,,,38.5,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Li, Q., H. L. Allen, and A. G. Wollum II (2004), Microbial biomass and bacterial functional diversity in forest soils: effects of organic matter removal, compaction, and vegetation control, Soil Biol. Biochem., 36(4), 571-579.",,2004,USA,,,,1440,17,,Temperate Coniferous Forest,,,0~10,,,,,,,,44.9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Li, Q., H. L. Allen, and A. G. Wollum II (2004), Microbial biomass and bacterial functional diversity in forest soils: effects of organic matter removal, compaction, and vegetation control, Soil Biol. Biochem., 36(4), 571-579.",,2004,USA,,,,1440,17,,Temperate Coniferous Forest,,,0~10,,,,,,,,36.8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Liu, S., Y. Li, J. Wu, D. Huang, Y. Su, and W. Wei (2010), Spatial variability of soil microbial biomass carbon, nitrogen and phosphorus in a hilly red soil landscape in subtropical China, Soil Sci. Plant Nutr., 56(5), 693-704.",,2010,China,111,35,103.5,1380,17,"Acrisols,?Anthrosols, Ferralsols",Tropical/subtropical Forest,,,0~20,,,,5,696,115.7,18.2,16.7,3.7,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Pal, S., and P. Panwar (2013), Interrelationship of carbon sequestration, soil fertility, and microbial indices as influenced by long-term land uses in lower Himalayan region, India, Commun. Soil Sci. Plant Anal., 44(5), 869-883.",,2013,India,70,30,370,1100,,Cambisols,Tropical/Subtropical Forest,,,0~15,,,,7.2,647.8,,,34,2.1,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Pal, S., and P. Panwar (2013), Interrelationship of carbon sequestration, soil fertility, and microbial indices as influenced by long-term land uses in lower Himalayan region, India, Commun. Soil Sci. Plant Anal., 44(5), 869-883.",,2013,India,70,30,370,1100,,Cambisols,Tropical/Subtropical Forest,,,0~15,,,,8,467.9,,,25.1,1.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Pal, S., and P. Panwar (2013), Interrelationship of carbon sequestration, soil fertility, and microbial indices as influenced by long-term land uses in lower Himalayan region, India, Commun. Soil Sci. Plant Anal., 44(5), 869-883.",,2013,India,70,30,370,1100,,Cambisols,Tropical/Subtropical Forest,,,0~15,,,,7.7,467.9,,,24.8,1.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Pal, S., and P. Panwar (2013), Interrelationship of carbon sequestration, soil fertility, and microbial indices as influenced by long-term land uses in lower Himalayan region, India, Commun. Soil Sci. Plant Anal., 44(5), 869-883.",,2013,India,70,30,370,1100,,Cambisols,Tropical/Subtropical Forest,,,0~15,,,,7.6,408,,,23.5,1.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Pal, S., and P. Panwar (2013), Interrelationship of carbon sequestration, soil fertility, and microbial indices as influenced by long-term land uses in lower Himalayan region, India, Commun. Soil Sci. Plant Anal., 44(5), 869-883.",,2013,India,70,30,370,1100,,Cambisols,Tropical/Subtropical Forest,,,0~15,,,,7.6,491.2,,,22.9,1.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Pal, S., and P. Panwar (2013), Interrelationship of carbon sequestration, soil fertility, and microbial indices as influenced by long-term land uses in lower Himalayan region, India, Commun. Soil Sci. Plant Anal., 44(5), 869-883.",,2013,India,70,30,370,1100,,Cambisols,Tropical/Subtropical Forest,,,0~15,,,,7.8,623.6,,,28.1,1.8,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Pal, S., and P. Panwar (2013), Interrelationship of carbon sequestration, soil fertility, and microbial indices as influenced by long-term land uses in lower Himalayan region, India, Commun. Soil Sci. Plant Anal., 44(5), 869-883.",,2013,India,70,30,370,1100,,Cambisols,Tropical/Subtropical Forest,,,15~30,,,,7.4,635.3,,,32.1,2.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Pal, S., and P. Panwar (2013), Interrelationship of carbon sequestration, soil fertility, and microbial indices as influenced by long-term land uses in lower Himalayan region, India, Commun. Soil Sci. Plant Anal., 44(5), 869-883.",,2013,India,70,30,370,1100,,Cambisols,Tropical/Subtropical Forest,,,15~30,,,,8.3,348,,,25.9,1.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Pal, S., and P. Panwar (2013), Interrelationship of carbon sequestration, soil fertility, and microbial indices as influenced by long-term land uses in lower Himalayan region, India, Commun. Soil Sci. Plant Anal., 44(5), 869-883.",,2013,India,70,30,370,1100,,Cambisols,Tropical/Subtropical Forest,,,15~30,,,,8.2,288.1,,,25.1,1.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Pal, S., and P. Panwar (2013), Interrelationship of carbon sequestration, soil fertility, and microbial indices as influenced by long-term land uses in lower Himalayan region, India, Commun. Soil Sci. Plant Anal., 44(5), 869-883.",,2013,India,70,30,370,1100,,Cambisols,Tropical/Subtropical Forest,,,15~30,,,,7.7,359.7,,,21.3,1.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Pal, S., and P. Panwar (2013), Interrelationship of carbon sequestration, soil fertility, and microbial indices as influenced by long-term land uses in lower Himalayan region, India, Commun. Soil Sci. Plant Anal., 44(5), 869-883.",,2013,India,70,30,370,1100,,Cambisols,Tropical/Subtropical Forest,,,15~30,,,,7.9,431.3,,,24.6,1.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Pal, S., and P. Panwar (2013), Interrelationship of carbon sequestration, soil fertility, and microbial indices as influenced by long-term land uses in lower Himalayan region, India, Commun. Soil Sci. Plant Anal., 44(5), 869-883.",,2013,India,70,30,370,1100,,Cambisols,Tropical/Subtropical Forest,,,15~30,,,,7.4,539.5,,,26.7,1.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Pal, S., and P. Panwar (2013), Interrelationship of carbon sequestration, soil fertility, and microbial indices as influenced by long-term land uses in lower Himalayan region, India, Commun. Soil Sci. Plant Anal., 44(5), 869-883.",,2013,India,70,30,370,1100,,Cambisols,Tropical/Subtropical Forest,,,30~45,,,,7,467.9,,,24.8,1.9,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Pal, S., and P. Panwar (2013), Interrelationship of carbon sequestration, soil fertility, and microbial indices as influenced by long-term land uses in lower Himalayan region, India, Commun. Soil Sci. Plant Anal., 44(5), 869-883.",,2013,India,70,30,370,1100,,Cambisols,Tropical/Subtropical Forest,,,30~45,,,,8.3,168.2,,,25.7,1.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Pal, S., and P. Panwar (2013), Interrelationship of carbon sequestration, soil fertility, and microbial indices as influenced by long-term land uses in lower Himalayan region, India, Commun. Soil Sci. Plant Anal., 44(5), 869-883.",,2013,India,70,30,370,1100,,Cambisols,Tropical/Subtropical Forest,,,30~45,,,,8.2,288.1,,,19.2,1.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Pal, S., and P. Panwar (2013), Interrelationship of carbon sequestration, soil fertility, and microbial indices as influenced by long-term land uses in lower Himalayan region, India, Commun. Soil Sci. Plant Anal., 44(5), 869-883.",,2013,India,70,30,370,1100,,Cambisols,Tropical/Subtropical Forest,,,30~45,,,,7.6,371.3,,,16.6,1.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asada et al. ,"Pal, S., and P. Panwar (2013), Interrelationship of carbon sequestration, soil fertility, and microbial indices as influenced by long-term land uses in lower Himalayan region, India, Commun. Soil Sci. Plant Anal., 44(5), 869-883.",,2013,India,70,30,370,1100,,Cambisols,Tropical/Subtropical Forest,,,30~45,,,,7.8,323.9,,,16.8,1.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
